day,state,death_rates
2020-4-19,ME,0.0392156862745098
2020-4-20,ME,0.04
2020-4-21,ME,0.04054054054054054
2020-4-22,ME,0.04299889746416759
2020-4-23,ME,0.04695837780149413
2020-4-24,ME,0.04870466321243523
2020-4-25,ME,0.050505050505050504
2020-4-26,ME,0.04926108374384237
2020-4-27,ME,0.04985337243401759
2020-4-28,ME,0.04903846153846154
2020-4-29,ME,0.04924242424242424
2020-4-30,ME,0.048401826484018265
2020-5-1,ME,0.048975957257346395
2020-5-2,ME,0.04861111111111111
2020-5-3,ME,0.04810126582278481
2020-5-4,ME,0.04730290456431535
2020-5-5,ME,0.049755301794453505
2020-5-6,ME,0.049441786283891544
2020-5-7,ME,0.04661654135338346
2020-5-8,ME,0.04585152838427948
2020-5-9,ME,0.045454545454545456
2020-5-10,ME,0.04456824512534819
2020-1-25,CA,0
2020-1-26,CA,0.0
2020-1-27,CA,0.0
2020-1-28,CA,0.0
2020-1-29,CA,0.0
2020-1-30,CA,0.0
2020-1-31,CA,0.0
2020-2-1,CA,0.0
2020-2-2,CA,0.0
2020-2-3,CA,0.0
2020-2-4,CA,0.0
2020-2-5,CA,0.0
2020-2-6,CA,0.0
2020-2-7,CA,0.0
2020-2-8,CA,0.0
2020-2-9,CA,0.0
2020-2-10,CA,0.0
2020-2-11,CA,0.0
2020-2-12,CA,0.0
2020-2-13,CA,0.0
2020-2-14,CA,0.0
2020-2-15,CA,0.0
2020-2-16,CA,0.0
2020-2-17,CA,0.0
2020-2-18,CA,0.0
2020-2-19,CA,0.0
2020-2-20,CA,0.0
2020-2-21,CA,0.0
2020-2-22,CA,0.0
2020-2-23,CA,0.0
2020-2-24,CA,0.0
2020-2-25,CA,0.0
2020-2-26,CA,0.0
2020-2-27,CA,0.0
2020-2-28,CA,0.0
2020-2-29,CA,0.0
2020-3-1,CA,0.0
2020-3-2,CA,0.0
2020-3-3,CA,0.0
2020-3-4,CA,0.01818181818181818
2020-3-5,CA,0.014925373134328358
2020-3-6,CA,0.012345679012345678
2020-3-7,CA,0.01
2020-3-8,CA,0.008928571428571428
2020-3-9,CA,0.011627906976744186
