day,state,num_deaths
2020-4-21,CT,92
2020-4-22,CT,121
2020-4-23,CT,95
2020-4-24,CT,125
2020-4-25,CT,98
2020-4-26,CT,63
2020-4-27,CT,87
2020-4-28,CT,77
2020-4-29,CT,79
2020-4-30,CT,89
2020-5-1,CT,82
2020-5-2,CT,97
2020-5-3,CT,0
2020-5-4,CT,120
2020-5-5,CT,77
2020-5-6,CT,85
2020-5-7,CT,79
2020-5-8,CT,77
2020-5-9,CT,58
2020-5-10,CT,35
2020-1-25,NM,0
2020-1-26,NM,0
2020-1-27,NM,0
2020-1-28,NM,0
2020-1-29,NM,0
2020-1-30,NM,0
2020-1-31,NM,0
2020-2-1,NM,0
2020-2-2,NM,0
2020-2-3,NM,0
2020-2-4,NM,0
2020-2-5,NM,0
2020-2-6,NM,0
2020-2-7,NM,0
2020-2-8,NM,0
2020-2-9,NM,0
2020-2-10,NM,0
2020-2-11,NM,0
2020-2-12,NM,0
2020-2-13,NM,0
2020-2-14,NM,0
2020-2-15,NM,0
2020-2-16,NM,0
2020-2-17,NM,0
2020-2-18,NM,0
2020-2-19,NM,0
2020-2-20,NM,0
2020-2-21,NM,0
2020-2-22,NM,0
2020-2-23,NM,0
2020-2-24,NM,0
2020-2-25,NM,0
2020-2-26,NM,0
2020-2-27,NM,0
2020-2-28,NM,0
2020-2-29,NM,0
2020-3-1,NM,0
2020-3-2,NM,0
2020-3-3,NM,0
2020-3-4,NM,0
2020-3-5,NM,0
2020-3-6,NM,0
2020-3-7,NM,0
2020-3-8,NM,0
2020-3-9,NM,0
2020-3-10,NM,0
2020-3-11,NM,0
2020-3-12,NM,0
2020-3-13,NM,0
2020-3-14,NM,0
2020-3-15,NM,0
2020-3-16,NM,0
2020-3-17,NM,0
2020-3-18,NM,0
2020-3-19,NM,0
2020-3-20,NM,0
2020-3-21,NM,0
2020-3-22,NM,0
2020-3-23,NM,0
2020-3-24,NM,0
2020-3-25,NM,1
2020-3-26,NM,0
2020-3-27,NM,0
2020-3-28,NM,1
2020-3-29,NM,0
2020-3-30,NM,2
2020-3-31,NM,1
2020-4-1,NM,1
2020-4-2,NM,1
2020-4-3,NM,3
2020-4-4,NM,1
2020-4-5,NM,1
2020-4-6,NM,0
2020-4-7,NM,1
2020-4-8,NM,3
2020-4-9,NM,1
2020-4-10,NM,2
2020-4-11,NM,1
2020-4-12,NM,6
2020-4-13,NM,5
2020-4-14,NM,5
2020-4-15,NM,0
2020-4-16,NM,8
2020-4-17,NM,7
2020-4-18,NM,2
2020-4-19,NM,2
2020-4-20,NM,3
2020-4-21,NM,7
2020-4-22,NM,6
2020-4-23,NM,7
2020-4-24,NM,6
